med_id, house_id,weight
1707535720,4744721426,5.570107924057849
1707535720,5059983406,1.8381236789847417
1707535720,4649529194,8.696256144400188
4682991839,6809104221,5.791650995391571
6350202175,6809104221,5.289624803835414
1296971538,6809104221,4.1469426758702035
1296971538,5882954099,6.601232364503554
1401281048,6809104221,4.063149828431864
1401281048,5882954099,4.800224695645344
1323498240,6809104221,8.452135322054342
1323498240,5882954099,2.770062884487503
1399783495,6809104221,5.589195939924641
1399783495,5882954099,8.359931268066116
1359688740,4744721426,2.580293024779216
1359688740,5059983406,5.166858543343784
5789840238,4649529194,9.950504540933437
1207492831,4744721426,9.851419683331546
1207492831,5059983406,9.500707296984897
1207492831,4649529194,1.0838883881828512
1293102653,6809104221,4.999293069116966
1293102653,5882954099,4.658145774026685
1399783308,6809104221,6.122771556056972
1399783308,5882954099,8.893506884198448
1326686372,5882954099,3.236339288270572
1951391089,4649529194,7.011441572654999
1384815141,4744721426,3.043252662318006
1384815141,5059983406,3.102546021788556
1384815141,4649529194,8.385837667123438
1296947459,6809104221,3.410891048460628
1296947459,5882954099,6.673876157737174
1381478804,4744721426,6.585020677770222
1381478804,5059983406,1.9133449798292277
4880357030,6809104221,4.781162026758194
1382939376,4744721426,1.3021679802779293
1382939376,5059983406,3.792822502980026
1382939376,4649529194,8.503422495975983
1293131415,6809104221,3.725987677776077
1293131415,5882954099,5.539828672726556
4682991991,6809104221,6.1853857898904625
1273109286,4744721426,3.8809090981036793
1273109286,5059983406,3.5818934233379203
1314006013,4744721426,6.276878331807968
1314006013,5059983406,7.142992142168424
1359682572,4649529194,2.6464035692683225
1359682541,4649529194,2.4633947712175077
1326746019,5882954099,3.4260759891822183
4551106677,6809104221,4.002231155484515
5031592319,6809104221,3.9873368702730683
1341282177,4744721426,6.577592933761191
1341282177,5059983406,6.226880547414543
1341282177,4649529194,4.421008052521692
1323498275,6809104221,8.583177318318194
1323498275,5882954099,2.873205814679954
